Rank,Name,Market_Cap_Billion_USD,Market_Cap_Billion_GBP,Market_Cap_Billion_EUR,Market_Cap_Billion_INR
1,Industrial and Commercial Bank of China,6303.44,4664.55,5357.92,470047.52
2,Agricultural Bank of China,5623.12,4161.11,4779.65,419316.06
3,China Construction Bank,5400.28,3996.21,4590.24,402698.88
4,Bank of China,4578.28,3387.93,3891.54,341402.34
5,JPMorgan Chase,3875.39,2867.79,3294.08,288987.83
6,Bank of America,3180.15,2353.31,2703.13,237143.79
7,HSBC,2919.84,2160.68,2481.86,217732.47
8,BNP Paribas,2867.44,2121.91,2437.32,213825.0
9,Mitsubishi UFJ Financial Group,2816.77,2084.41,2394.25,210046.54
10,Crédit Agricole,2736.95,2025.34,2326.41,204094.36
11,Postal Savings Bank of China,2217.86,1641.22,1885.18,165385.82
12,Citigroup,2200.83,1628.61,1870.71,164115.89
13,SMBC Group,2027.34,1500.23,1723.24,151178.74
14,Banco Santander,1986.36,1469.91,1688.41,148122.87
15,Bank of Communications,1982.89,1467.34,1685.46,147864.11
16,Wells Fargo,1932.47,1430.03,1642.6,144104.29
17,Mizuho Financial Group,1923.56,1423.43,1635.03,143439.87
18,Barclays,1891.72,1399.87,1607.96,141065.56
19,Société Générale,1717.49,1270.94,1459.87,128073.23
20,UBS,1717.25,1270.76,1459.66,128055.33
21,Groupe BPCE,1706.8,1263.03,1450.78,127276.08
22,Goldman Sachs,1641.59,1214.78,1395.35,122413.37
23,Japan Post Bank,1625.6,1202.94,1381.76,121220.99
24,Royal Bank of Canada,1566.41,1159.14,1331.45,116807.19
25,China Merchants Bank,1555.3,1150.92,1322.0,115978.72
26,Deutsche Bank,1450.57,1073.42,1232.98,108169.0
27,Industrial Bank (China),1432.59,1060.12,1217.7,106828.24
28,Toronto-Dominion Bank,1428.29,1056.93,1214.05,106507.59
29,China CITIC Bank,1276.63,944.71,1085.14,95198.3
30,Crédit Mutuel,1262.95,934.58,1073.51,94178.18
31,Shanghai Pudong Development Bank,1207.18,893.31,1026.1,90019.41
32,Morgan Stanley,1193.69,883.33,1014.64,89013.46
33,Lloyds Banking Group,1122.76,830.84,954.35,83724.21
34,China Minsheng Bank,1082.37,800.95,920.01,80712.33
35,ING Group,1078.35,797.98,916.6,80412.56
36,Intesa Sanpaolo,1066.74,789.39,906.73,79546.8
37,Scotiabank,1041.11,770.42,884.94,77635.57
38,Bank of Montreal,990.19,732.74,841.66,73838.47
39,China Everbright Bank,955.14,706.8,811.87,71224.79
40,NatWest Group,882.3,652.9,749.96,65793.11
41,UniCredit,872.9,645.95,741.96,65092.15
42,Commonwealth Bank,868.74,642.87,738.43,64781.94
43,Banco Bilbao Vizcaya Argentaria,857.25,634.36,728.66,63925.13
44,Standard Chartered,822.84,608.9,699.41,61359.18
45,La Banque postale,815.91,603.77,693.52,60842.41
46,Ping An Bank,787.93,583.07,669.74,58755.94
47,State Bank of India,780.05,577.24,663.04,58168.33
48,ANZ Group,769.59,569.5,654.15,57388.33
49,Canadian Imperial Bank of Commerce,726.27,537.44,617.33,54157.95
50,DZ Bank,712.49,527.24,605.62,53130.38
51,Norinchukin Bank,702.03,519.5,596.73,52350.38
52,National Australia Bank,683.41,505.72,580.9,50961.88
53,Rabobank,678.45,502.05,576.68,50592.02
54,CaixaBank,671.13,496.64,570.46,50046.16
55,Westpac,664.5,491.73,564.82,49551.76
56,U.S. Bancorp,663.49,490.98,563.97,49476.45
57,Nordea,662.71,490.41,563.3,49418.28
58,Capital One,629.99,466.19,535.49,46978.35
59,Sberbank of Russia,581.88,430.59,494.6,43390.79
60,Commerzbank,571.64,423.01,485.89,42627.19
61,Huaxia Bank,562.58,416.31,478.19,41951.59
62,PNC Financial Services,561.58,415.57,477.34,41877.02
63,DBS Group,560.1,414.47,476.08,41766.66
64,Itaú Unibanco,555.72,411.23,472.36,41440.04
65,KB Financial Group,551.94,408.44,469.15,41158.17
66,Danske Bank,542.81,401.68,461.39,40477.34
67,Truist Financial Corp,535.35,396.16,455.05,39921.05
68,Shinhan Financial Group,533.48,394.78,453.46,39781.6
69,Resona Holdings,527.53,390.37,448.4,39337.91
70,Sumitomo Mitsui Trust Holdings,520.34,385.05,442.29,38801.75
71,Bank of Beijing,503.31,372.45,427.81,37531.83
72,China Guangfa Bank,495.55,366.71,421.22,36953.16
73,Charles Schwab Corporation,493.18,364.95,419.2,36776.43
74,HDFC Bank,464.34,343.61,394.69,34625.83
75,Bank of Jiangsu,457.25,338.36,388.66,34097.13
76,Hana Financial Group,456.47,337.79,388.0,34038.97
77,Banco do Brasil,447.72,331.31,380.56,33386.48
78,Nationwide Building Society,446.95,330.74,379.91,33329.06
79,China Zheshang Bank,443.37,328.09,376.86,33062.1
80,OCBC,441.53,326.73,375.3,32924.89
81,Bank of Shanghai,435.14,322.0,369.87,32448.39
82,ABN AMRO,417.72,309.11,355.06,31149.38
83,The Bank of New York Mellon,409.88,303.31,348.4,30564.75
84,United Overseas Bank,396.62,293.5,337.13,29575.95
85,Banco Bradesco,394.76,292.12,335.55,29437.25
86,Nonghyup Bank,394.46,291.9,335.29,29414.88
87,Nomura Holdings,388.42,287.43,330.16,28964.48
88,Woori Financial Group,382.05,282.72,324.74,28489.47
89,KBC Group,383.47,283.77,325.95,28595.36
90,Caixa Econômica Federal,377.29,279.19,320.7,28134.52
91,Erste Group,372.67,275.78,316.77,27790.0
92,Landesbank Baden-Württemberg,368.41,272.62,313.15,27472.33
93,Bank of Ningbo,365.96,270.81,311.07,27289.64
94,SEB Group,358.79,265.5,304.97,26754.97
95,Raiffeisen Group,352.87,261.12,299.94,26313.52
96,Handelsbanken,351.79,260.32,299.02,26232.98
97,Industrial Bank of Korea,345.81,255.9,293.94,25787.05
98,DNB,339.21,251.02,288.33,25294.89
99,Qatar National Bank,338.14,250.22,287.42,25215.1
100,VTB Bank,326.85,241.87,277.82,24373.2
